State,Dataset,Jan-95,Feb-95,Mar-95,Apr-95,May-95,Jun-95,Jul-95,Aug-95,Sep-95,Oct-95,Nov-95,Dec-95,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Indiana,Employment,2997774,2999842,2998070,2994272,2990797,2989282,2989889,2991195,2991366,2989192,2984720,2979256,2974830,2972612,2972885,2975275,2978995,2983283,2987485,2991057,2993321,2993954,2993624,2993587,2994698,2997595,3002469,3008310,3013518,3017054,3018745,3018977,3018553,3018087,3017765,3017941,3018768,3020122,3021418,3022610,3023697,3024592,3025664,3027432,3029906,3032818,3035305,3036498,3036254,3035039,3033536,3031958,3030225,3028423,3026608,3025514,3026074,3028441,3032374,3036629,3039758,3040655,3039141,3035810,3031644,3027344,3023677,3021559,3021351,3023180,3026321,3029429,3031056,3030029,3025898,3019197,3011601,3004830,3000031,2996645,2994007,2991693,2989238,2987165,2986045,2986475,2988931,2993918,3000934,3008810,3015738,3020396,3022300,3021562,3019642,3017944,3017505,3018333,3019424,3019586,3018337,3016338,3014300,3012618,3011291,3010021,3008447,3006280,3003491,3000809,2999209,2998883,2999389,2999931,2999919,2999123,2997778,2996457,2995989,2997270,3000733,3006103,3012800,3020180,3027501,3033858,3038602,3042022,3044923,3048298,3052590,3057368,3062210,3066352,3068966,3069630,3068882,3067537,3067098,3068298,3070574,3073192,3075043,3074979,3072387,3067606,3061563,3055494,3050300,3046716,3045116,3045429,3047663,3050978,3054169,3056613,3057592,3056900,3055048,3052664,3050185,3047474,3043442,3036546,3025176,3008607,2987345,2962958,2937971,2915038,2895857,2880672,2868374,2857771,2847887,2838428,2829848,2822484,2817439,2815625,2817132,2821438,2827932,2835389,2842255,2847011,2848974,2849053,2848591,2849332,2852228,2857353,2865441,2872812,2878674,2882350,2884492,2886110,2888277,2891464,2895865,2901476,2907206,2911718,2914054,2913820,2911012,2906510,2902077,2899477,2899529,2901687,2904906,2908044,2910837,2913564,2916481,2920103,2925141,2931826,2939337,2947353,2956245,2965902,2975676,2984902,2993328,3000895,3008022,3014941,3021590,3027725,3033543,3038971,3043447,3047617,3052315,3057647,3063265,3068996,3074607,3080372,3086797,3093904,3101411,3108736,3115107,3119921,3123418,3126259,3128500,3130073
Indiana,Labor Force,3135516,3139927,3141907,3141498,3139568,3137338,3135729,3134796,3133852,3131772,3127587,3121802,3116259,3112405,3110675,3110842,3112031,3113179,3113524,3112630,3110075,3106394,3102828,3100638,3100621,3103207,3108251,3114904,3121550,3126876,3130299,3131769,3131545,3130142,3127653,3124560,3121331,3118364,3115731,3114031,3113947,3115731,3119504,3124597,3129882,3133747,3134947,3133479,3130249,3126712,3124019,3122393,3121497,3121235,3121456,3122437,3124812,3128626,3133600,3138355,3141704,3142891,3142066,3139418,3134957,3128771,3121537,3115399,3112296,3113577,3119273,3127672,3135943,3141297,3142168,3139026,3134590,3131725,3132355,3136106,3141598,3147326,3151684,3154518,3156316,3157823,3160009,3163777,3168968,3174658,3179384,3181988,3182225,3180366,3177798,3175716,3175465,3177557,3181360,3185487,3188729,3190517,3190394,3188465,3184953,3180671,3176448,3172760,3169548,3167091,3165874,3165680,3166091,3166706,3167320,3167807,3168516,3169901,3172158,3175690,3180246,3185164,3189804,3194408,3199285,3204515,3210131,3215558,3220128,3223393,3225534,3226919,3228339,3230248,3232545,3234546,3235603,3235472,3234849,3234704,3235146,3235353,3234507,3231428,3225706,3217872,3208811,3200215,3193595,3190005,3189732,3192241,3196620,3201690,3206009,3209098,3211065,3212645,3215300,3219647,3225362,3231255,3235766,3238090,3238162,3236811,3234658,3232116,3229559,3226979,3223427,3217941,3210115,3200147,3188660,3176754,3166224,3158400,3154895,3156146,3160452,3165757,3170976,3174963,3176564,3175542,3172332,3167961,3163124,3158566,3154692,3152049,3153210,3154945,3157961,3162073,3167642,3174345,3181385,3187628,3192029,3194390,3194269,3191497,3186579,3180485,3174047,3168018,3163430,3160966,3160746,3162655,3166396,3170967,3175703,3179968,3183212,3185300,3186653,3187965,3189422,3191499,3194785,3198096,3200277,3201440,3202328,3203775,3206526,3210707,3215946,3221140,3225484,3228736,3230885,3233402,3237193,3241348,3244809,3247326,3248894,3250154,3251866,3254461,3257976,3261942,3265809,3269063,3271886,3274691,3277175,3279479
Iowa,Unemployment,53248,53423,53979,54636,55120,55319,55250,54981,54728,54719,54980,55443,55988,56588,57148,57477,57473,57204,56810,56453,56223,56108,56043,55820,55299,54382,53087,51681,50397,49336,48601,48152,47712,47109,46341,45494,44731,44148,43812,43631,43558,43577,43617,43756,44049,44284,44197,43743,42983,42175,41670,41659,42075,42552,42681,42171,41151,40010,38985,38324,38143,38355,38770,39282,39874,40633,41587,42636,43664,44690,45879,47187,48498,49735,50740,51426,51846,52223,52876,54057,55761,57756,59794,61638,63128,64200,64913,65343,65563,65660,65665,65685,65827,66162,66814,67826,69188,70721,72184,73346,74066,74285,74058,73519,72790,72103,71524,71065,70777,70616,70614,70829,71263,71886,72509,72970,73190,73173,72911,72494,71888,71181,70460,69760,69128,68576,68331,68403,68488,68234,67370,65870,63910,61907,60332,59597,59748,60542,61489,62123,62434,62393,62148,61870,61739,61776,61796,61655,61411,61249,61332,61709,62183,62439,62428,62227,62109,62422,63406,65050,67026,69003,70801,72734,75333,79134,84272,90402,96893,102896,107702,110807,112300,112585,112118,111231,110126,109129,108280,107516,106582,105288,103660,101991,100520,99335,98590,98186,97953,97629,97033,96132,94769,93642,92576,91742,91242,91051,91018,90882,90466,89674,88499,87078,85585,84275,83347,82792,82532,82467,82400,82259,82032,81646,81319,81166,81185,81279,81253,80965,80311,79361,78212,77015,75877,74923,74123,73425,72861,72388,71993,71625,71230,70751,70239,69756,69202,68500,67522,66292,64980,63791,62863,62268,61985,61833,61628,61229,60711,60196,59743,59428
Iowa,Employment,1533671,1532441,1530740,1528981,1527855,1527968,1529460,1531939,1534686,1537060,1538866,1540376,1542067,1544219,1546929,1549996,1552965,1555366,1556967,1557727,1557610,1556772,1555607,1554697,1554411,1554802,1555554,1556116,1555945,1554856,1553174,1551480,1550421,1550324,1551035,1552214,1553366,1554082,1554042,1553359,1552325,1551250,1550432,1550193,1550636,1551615,1552777,1553758,1554549,1555272,1556058,1556793,1557183,1557038,1556282,1555042,1553672,1552615,1552182,1552151,1551930,1551048,1549509,1547561,1545728,1544464,1544100,1544818,1546454,1548576,1550686,1552461,1553743,1554504,1554864,1555245,1556082,1557460,1559199,1560844,1562170,1563206,1564110,1565302,1567145,1569648,1572428,1575105,1577259,1578577,1578679,1577309,1574393,1570036,1564674,1558735,1552749,1547175,1542167,1537563,1533324,1529779,1527280,1526007,1525902,1526605,1527534,1528084,1527857,1526967,1526002,1525422,1525362,1525724,1526429,1527424,1528697,1530437,1532919,1536271,1540283,1544504,1548528,1552215,1555585,1558567,1561104,1563313,1565422,1567698,1570411,1573823,1578087,1582984,1587996,1592607,1596495,1599499,1601709,1603200,1603934,1603853,1602844,1600945,1598590,1596475,1595162,1594903,1595588,1596972,1598744,1600696,1602800,1605012,1607240,1609331,1610935,1611865,1612199,1612152,1611987,1611857,1611658,1611099,1609807,1607570,1604380,1600450,1596182,1592012,1588293,1585197,1582632,1580480,1578566,1576750,1574985,1573275,1571923,1571286,1571573,1572643,1574096,1575440,1576384,1576832,1577020,1577364,1578101,1579235,1580397,1581048,1580174,1578986,1576958,1574454,1571899,1569671,1568020,1566983,1566481,1566382,1566501,1566678,1566812,1566756,1566335,1565529,1564572,1563767,1563390,1563585,1564435,1565938,1568004,1570570,1573536,1576942,1580907,1585414,1590093,1594540,1598556,1602058,1605070,1607689,1610176,1612759,1615554,1618480,1621301,1623954,1626544,1629044,1631180,1632896,1634281,1635419,1636326,1636978,1637338,1637413,1637292,1636961,1636575,1636554,1637296,1638735,1640562,1642517,1644387,1646017
Iowa,Labor Force,1586919,1585864,1584719,1583617,1582975,1583287,1584710,1586920,1589414,1591779,1593846,1595819,1598055,1600807,1604077,1607473,1610438,1612570,1613777,1614180,1613833,1612880,1611650,1610517,1609710,1609184,1608641,1607797,1606342,1604192,1601775,1599632,1598133,1597433,1597376,1597708,1598097,1598230,1597854,1596990,1595883,1594827,1594049,1593949,1594685,1595899,1596974,1597501,1597532,1597447,1597728,1598452,1599258,1599590,1598963,1597213,1594823,1592625,1591167,1590475,1590073,1589403,1588279,1586843,1585602,1585097,1585687,1587454,1590118,1593266,1596565,1599648,1602241,1604239,1605604,1606671,1607928,1609683,1612075,1614901,1617931,1620962,1623904,1626940,1630273,1633848,1637341,1640448,1642822,1644237,1644344,1642994,1640220,1636198,1631488,1626561,1621937,1617896,1614351,1610909,1607390,1604064,1601338,1599526,1598692,1598708,1599058,1599149,1598634,1597583,1596616,1596251,1596625,1597610,1598938,1600394,1601887,1603610,1605830,1608765,1612171,1615685,1618988,1621975,1624713,1627143,1629435,1631716,1633910,1635932,1637781,1639693,1641997,1644891,1648328,1652204,1656243,1660041,1663198,1665323,1666368,1666246,1664992,1662815,1660329,1658251,1656958,1656558,1656999,1658221,1660076,1662405,1664983,1667451,1669668,1671558,1673044,1674287,1675605,1677202,1679013,1680860,1682459,1683833,1685140,1686704,1688652,1690852,1693075,1694908,1695995,1696004,1694932,1693065,1690684,1687981,1685111,1682404,1680203,1678802,1678155,1677931,1677756,1677431,1676904,1676167,1675610,1675550,1676054,1676864,1677430,1677180,1674943,1672628,1669534,1666196,1663141,1660722,1659038,1657865,1656947,1656056,1655000,1653756,1652397,1651031,1649682,1648321,1647104,1646234,1645790,1645844,1646467,1647584,1649323,1651736,1654721,1658221,1662160,1666379,1670404,1673901,1676768,1679073,1680947,1682612,1684299,1686184,1688415,1690868,1693294,1695579,1697774,1699795,1701419,1702652,1703483,1703919,1703848,1703270,1702318,1701204,1700155,1699229,1698560,1698387,1698924,1699964,1701273,1702713,1704130,1705445
Kansas,Unemployment,64456,63613,62810,62046,61297,60445,59371,58067,56696,55581,54922,54828,55308,56208,57219,58071,58531,58607,58388,58060,57846,57751,57622,57258,56585,55598,54352,53050,51931,51049,50415,50027,49695,49430,49250,49090,48954,48945,49189,49593,50060,50530,50942,51086,50870,50208,49160,47969,46850,46042,45668,45793,46228,46660,47000,47207,47292,47304,47337,47542,47990,48519,49002,49376,49677,50042,50441,50917,51608,52485,53417,54255,54928,55436,55791,56035,56308,56806,57648,58920,60562,62484,64580,66675,68480,69853,70772,71274,71546,71782,72040,72306,72465,72515,72540,72639,73045,74020,75573,77535,79513,81057,81979,82283,82135,81893,81784,81861,82020,81964,81619,81077,80437,79815,79235,78723,78357,78098,77893,77692,77384,76872,76080,75016,73818,72751,72040,71656,71341,70847,70062,68965,67657,66346,65277,64566,64174,64012,63947,63883,63851,63798,63659,63455,63280,63145,62988,62795,62667,62621,62819,63336,63968,64491,64746,64656,64367,64094,64155,64730,65832,67355,69105,71035,73374,76190,79541,83586,88183,93281,98502,103310,107276,109970,111253,111341,110656,109801,109221,108933,108768,108427,107662,106592,105335,104296,103678,103413,103397,103479,103384,102914,102478,101083,99340,97527,95990,94914,94318,94003,93569,92759,91579,90155,88677,87351,86313,85436,84630,83848,83143,82667,82475,82433,82389,82214,81856,81300,80672,80072,79507,78881,78056,76872,75419,73926,72514,71293,70299,69538,68913,68327,67695,66976,66217,65528,64915,64367,63987,63814,63758,63710,63547,63220,62717,62094,61466,60977,60707,60603,60591,60655
Kansas,Employment,1289217,1289802,1289857,1289540,1289286,1289388,1289948,1290755,1291433,1291736,1291720,1291570,1291596,1291964,1292705,1293874,1295513,1297706,1300550,1303891,1307261,1310115,1312244,1313880,1315395,1317172,1319582,1322656,1326017,1329266,1332164,1334699,1337114,1339629,1342324,1345323,1348608,1352070,1355472,1358766,1362012,1365294,1368614,1371977,1375256,1378295,1380759,1382284,1382790,1382503,1381808,1381009,1380251,1379550,1378791,1377922,1376916,1375735,1374492,1373211,1371811,1370089,1367843,1364937,1361419,1357402,1353230,1349361,1346146,1343805,1342223,1341007,1339737,1338150,1336205,1334036,1331982,1330326,1329235,1328574,1328228,1328098,1328137,1328526,1329423,1330855,1332772,1335207,1337992,1340914,1343655,1345988,1347854,1349252,1350347,1351276,1352166,1353069,1353881,1354423,1354694,1354980,1355572,1356673,1358357,1360581,1363218,1366078,1368944,1371771,1374675,1377719,1380807,1383680,1386070,1387785,1388729,1389033,1388957,1388807,1388840,1389091,1389421,1389715,1389907,1389952,1389907,1389937,1390236,1390900,1391878,1393070,1394433,1395876,1397300,1398642,1399950,1401257,1402706,1404378,1406237,1408243,1410270,1412103,1413638,1415016,1416435,1417988,1419636,1421311,1422835,1423995,1424753,1425179,1425536,1426165,1427174,1428478,1429859,1431076,1431988,1432614,1433036,1433362,1433566,1433502,1432956,1431751,1429859,1427414,1424686,1421924,1419198,1416566,1414029,1411525,1408946,1406170,1403251,1400395,1397912,1396046,1394937,1394515,1394492,1394436,1394054,1393421,1392788,1392449,1392525,1392949,1393440,1393796,1393917,1393911,1394024,1394431,1395092,1395760,1396227,1396433,1396347,1396061,1395831,1395811,1395930,1396127,1396458,1396986,1397783,1398827,1399989,1401098,1402100,1402975,1403645,1404169,1404660,1405188,1405732,1406355,1407222,1408472,1410156,1412231,1414627,1417245,1420019,1422782,1425310,1427395,1428924,1429890,1430337,1430472,1430547,1430722,1430930,1431022,1430865,1430505,1430223,1430391,1431333,1433177,1435774,1438641,1441294,1443538,1445379,1446730
Kansas,Labor Force,1353673,1353415,1352667,1351586,1350583,1349833,1349319,1348822,1348129,1347317,1346642,1346398,1346904,1348172,1349924,1351945,1354044,1356313,1358938,1361951,1365107,1367866,1369866,1371138,1371980,1372770,1373934,1375706,1377948,1380315,1382579,1384726,1386809,1389059,1391574,1394413,1397562,1401015,1404661,1408359,1412072,1415824,1419556,1423063,1426126,1428503,1429919,1430253,1429640,1428545,1427476,1426802,1426479,1426210,1425791,1425129,1424208,1423039,1421829,1420753,1419801,1418608,1416845,1414313,1411096,1407444,1403671,1400278,1397754,1396290,1395640,1395262,1394665,1393586,1391996,1390071,1388290,1387132,1386883,1387494,1388790,1390582,1392717,1395201,1397903,1400708,1403544,1406481,1409538,1412696,1415695,1418294,1420319,1421767,1422887,1423915,1425211,1427089,1429454,1431958,1434207,1436037,1437551,1438956,1440492,1442474,1445002,1447939,1450964,1453735,1456294,1458796,1461244,1463495,1465305,1466508,1467086,1467131,1466850,1466499,1466224,1465963,1465501,1464731,1463725,1462703,1461947,1461593,1461577,1461747,1461940,1462035,1462090,1462222,1462577,1463208,1464124,1465269,1466653,1468261,1470088,1472041,1473929,1475558,1476918,1478161,1479423,1480783,1482303,1483932,1485654,1487331,1488721,1489670,1490282,1490821,1491541,1492572,1494014,1495806,1497820,1499969,1502141,1504397,1506940,1509692,1512497,1515337,1518042,1520695,1523188,1525234,1526474,1526536,1525282,1522866,1519602,1515971,1512472,1509328,1506680,1504473,1502599,1501107,1499827,1498732,1497732,1496834,1496185,1495928,1495909,1495863,1495918,1494879,1493257,1491438,1490014,1489345,1489410,1489763,1489796,1489192,1487926,1486216,1484508,1483162,1482243,1481563,1481088,1480834,1480926,1481494,1482464,1483531,1484489,1485189,1485501,1485469,1485332,1485260,1485239,1485236,1485278,1485344,1485575,1486157,1487141,1488538,1490318,1492320,1494223,1495722,1496619,1496866,1496554,1496000,1495462,1495089,1494917,1494836,1494623,1494215,1493770,1493611,1494050,1495271,1497240,1499618,1502001,1504141,1505970,1507385
Kentucky,Unemployment,94510,95107,96536,98686,101112,103278,104578,104747,104008,102795,101604,100773,100345,100254,100034,99220,97899,96809,96897,98826,102425,107062,111443,114173,114604,112882,109836,106821,104532,102896,101489,99777,97308,94200,90963,88257,86624,86219,86810,87880,89012,89893,90290,90242,90028,89727,89436,89381,89602,90015,90467,90747,90795,90538,89917,88734,87134,85479,83895,82508,81388,80552,80037,79738,79527,79571,80015,80901,82080,83354,84991,87015,89118,91116,92957,94669,96473,98630,101378,104848,108627,112026,114247,114969,114427,112932,110980,109264,108234,107832,108026,108706,109920,111581,113429,115222,117007,118942,120891,122595,123829,124481,124303,123164,121131,118613,116160,114079,112448,111207,110368,109645,108649,107189,105283,103376,102013,101646,102429,104382,107161,110214,113007,115151,116560,117545,118658,120003,121357,122293,122505,121817,120251,118245,116345,115113,114705,114971,115445,115807,115990,115849,115362,114507,113352,111974,110433,108971,108013,107818,108600,110158,111525,112025,111618,110723,110217,110833,113064,117011,122147,127539,132554,137464,143416,151425,161709,173870,186952,199529,210193,217799,222203,223955,223680,221937,219760,218184,217640,217959,218167,217363,215243,212099,208562,205672,204248,204346,205179,205687,205225,203565,202250,199238,196425,194343,193231,192737,192291,191442,189636,186615,182428,177457,172515,168466,166004,165298,165865,166892,167656,167886,167679,167142,166558,166144,166116,166414,166767,166886,166850,166693,166188,164822,162685,160262,157764,155213,152450,149183,145325,140711,135227,129250,123496,118585,114488,110925,107946,105770,104339,103630,103376,103277,103068,102682,102549,103133,104666,106919,109444,112030
Kentucky,Employment,1757450,1758362,1758233,1757426,1756507,1755919,1755773,1755715,1755466,1754901,1754065,1753320,1753200,1754072,1756236,1759664,1764174,1769473,1775113,1780522,1785032,1788305,1790669,1792786,1795187,1798276,1802161,1806561,1810894,1814748,1818110,1821193,1824180,1827105,1829796,1832242,1834322,1836030,1837474,1839027,1840896,1843034,1845344,1847839,1850491,1853152,1855547,1857581,1859459,1861447,1863669,1866090,1868583,1871024,1873205,1875119,1876980,1879058,1881588,1884232,1886478,1887838,1888083,1887218,1885619,1883747,1882221,1881555,1881821,1882659,1883328,1883054,1881323,1878035,1873506,1868276,1862958,1857922,1853296,1848853,1844636,1840901,1837836,1835688,1834420,1833744,1833319,1833120,1833133,1833387,1833697,1833887,1833740,1833139,1832404,1831947,1832163,1833190,1834728,1836295,1837551,1838597,1839739,1841246,1843201,1845447,1847650,1849489,1850853,1851961,1853222,1854756,1856492,1858293,1859992,1861437,1862630,1863614,1864568,1865722,1867270,1869282,1871830,1874928,1878354,1881539,1883884,1885211,1885773,1886231,1887274,1889255,1892268,1895918,1899649,1903039,1906113,1909057,1912325,1916082,1919998,1923645,1926433,1927937,1928077,1927175,1925548,1923553,1921456,1919497,1917743,1916205,1915067,1914232,1913399,1912366,1910828,1908733,1906390,1904026,1901663,1899248,1896527,1893164,1888776,1883223,1876661,1869436,1862040,1855197,1849487,1845134,1841983,1839745,1838149,1837024,1836245,1835618,1835271,1835377,1836073,1837279,1838796,1840496,1842221,1843650,1844671,1845501,1846435,1847822,1849746,1851965,1856244,1858049,1858982,1859079,1858739,1858578,1859079,1860269,1861970,1863934,1865885,1867799,1869895,1872350,1875033,1877693,1880344,1882993,1885597,1887984,1889945,1891266,1891883,1891858,1891191,1890052,1888770,1887560,1886107,1884184,1881833,1879233,1876627,1874246,1872354,1871062,1870239,1869563,1868631,1867206,1865433,1863642,1861852,1860278,1859109,1858288,1857463,1856320,1854701,1852544,1849869,1846798,1843670,1840875,1839031,1838297,1838345,1838898,1839701,1840704
Kentucky,Labor Force,1851960,1853469,1854769,1856112,1857619,1859197,1860351,1860462,1859474,1857696,1855669,1854093,1853545,1854326,1856270,1858884,1862073,1866282,1872010,1879348,1887457,1895367,1902112,1906959,1909791,1911158,1911997,1913382,1915426,1917644,1919599,1920970,1921488,1921305,1920759,1920499,1920946,1922249,1924284,1926907,1929908,1932927,1935634,1938081,1940519,1942879,1944983,1946962,1949061,1951462,1954136,1956837,1959378,1961562,1963122,1963853,1964114,1964537,1965483,1966740,1967866,1968390,1968120,1966956,1965146,1963318,1962236,1962456,1963901,1966013,1968319,1970069,1970441,1969151,1966463,1962945,1959431,1956552,1954674,1953701,1953263,1952927,1952083,1950657,1948847,1946676,1944299,1942384,1941367,1941219,1941723,1942593,1943660,1944720,1945833,1947169,1949170,1952132,1955619,1958890,1961380,1963078,1964042,1964410,1964332,1964060,1963810,1963568,1963301,1963168,1963590,1964401,1965141,1965482,1965275,1964813,1964643,1965260,1966997,1970104,1974431,1979496,1984837,1990079,1994914,1999084,2002542,2005214,2007130,2008524,2009779,2011072,2012519,2014163,2015994,2018152,2020818,2024028,2027770,2031889,2035988,2039494,2041795,2042444,2041429,2039149,2035981,2032524,2029469,2027315,2026343,2026363,2026592,2026257,2025017,2023089,2021045,2019566,2019454,2021037,2023810,2026787,2029081,2030628,2032192,2034648,2038370,2043306,2048992,2054726,2059680,2062933,2064186,2063700,2061829,2058961,2056005,2053802,2052911,2053336,2054240,2054642,2054039,2052595,2050783,2049322,2048919,2049847,2051614,2053509,2054971,2055530,2058494,2057287,2055407,2053422,2051970,2051315,2051370,2051711,2051606,2050549,2048313,2045256,2042410,2040816,2041037,2042991,2046209,2049885,2053253,2055870,2057624,2058408,2058441,2058002,2057307,2056466,2055537,2054446,2052957,2050877,2048021,2044055,2039312,2034508,2030118,2026275,2022689,2018746,2013956,2007917,2000660,1992892,1985348,1978863,1973597,1969213,1965409,1962090,1959040,1956174,1953245,1950075,1946738,1943557,1941580,1941430,1943011,1945817,1949145,1952734
Louisiana,Unemployment,143858,143036,142382,141431,139864,137595,135014,132835,131561,131392,131966,132814,133585,134036,133971,133394,132476,131500,130687,130013,129304,128606,127785,126797,125871,125275,124964,124839,124547,123732,122282,120390,118233,116035,114102,112740,112130,112556,114183,116760,119627,121804,122520,121410,118903,115579,112110,109058,106480,104309,102540,101362,101125,101941,103366,104599,105140,104987,104373,103668,103355,103461,103848,104332,104710,105242,106263,108000,110274,112703,115032,116921,117855,117598,116159,113961,111889,110796,111292,113538,116967,120584,123382,124909,125325,125076,124807,124714,124573,123980,122933,121748,121001,121226,122627,124885,127767,130989,134439,137644,139785,139637,136507,131014,124744,119587,116979,117282,119723,122877,125732,127334,127311,125309,121669,117224,113509,111883,112673,115341,118535,120896,120604,118820,118913,124567,136330,150770,195434,198918,192182,157158,124600,107182,95813,90743,88427,86189,82933,79765,77748,77707,79764,83344,87407,90867,92989,93403,92276,89461,85583,81752,79172,78840,80878,84518,88545,91743,93575,94674,96261,98931,102552,106488,110526,114580,118672,122933,127322,131825,136241,140143,143317,145713,147376,148499,149392,150304,151613,153540,155884,158124,160108,161996,163869,165927,168227,170467,172292,173415,173591,172693,171462,169156,166425,163472,160735,158459,156720,155600,154950,154630,154419,154107,153676,153227,152799,152024,150493,147826,144192,140603,138312,138014,139804,142956,146300,148612,149146,147897,145385,142239,138880,134967,130340,125507,121038,117587,115663,115610,117748,121890,127303,133296,139341,144887,149302,151920,152614,151831,149982,147444,144272,140684,137095,133877,131188,129181,127721,126467,125286,124408
Louisiana,Employment,1818694,1819141,1818873,1818482,1818765,1820099,1822174,1824196,1825564,1826145,1826422,1827271,1829591,1833601,1838990,1845158,1851493,1857688,1863611,1869089,1873528,1876556,1878426,1879793,1881146,1882953,1885588,1888970,1892623,1896326,1900320,1904751,1909584,1914344,1918378,1921662,1924414,1926924,1929210,1931471,1933622,1935191,1935804,1935795,1935756,1936105,1936729,1936973,1936474,1935355,1934107,1933171,1932852,1933478,1934755,1936237,1937625,1938783,1939896,1941008,1941850,1941737,1940166,1936931,1932384,1927072,1922094,1918797,1917772,1919097,1921874,1924703,1926417,1926481,1924833,1921882,1918404,1914821,1911386,1907459,1902728,1897301,1891468,1886096,1881870,1879117,1877690,1877638,1878703,1880563,1882405,1883734,1884624,1885015,1885365,1885912,1886697,1887435,1887334,1885719,1882969,1880812,1880836,1883582,1888410,1894125,1899376,1903015,1904621,1904827,1904762,1905244,1906719,1909578,1913981,1919649,1925616,1930595,1933962,1936045,1937662,1939670,1943612,1949173,1953223,1951678,1942254,1925856,1906162,1888250,1876120,1871293,1872994,1878209,1883109,1886045,1888494,1891660,1896230,1902100,1908555,1914939,1920364,1924085,1925925,1926549,1926671,1927016,1928187,1931177,1936567,1943956,1952323,1960111,1966204,1970417,1972843,1974130,1975362,1976919,1978670,1980565,1982410,1983792,1984018,1982215,1977662,1970258,1960712,1950423,1940968,1933468,1928063,1924213,1921190,1918477,1916030,1914036,1913267,1914273,1917183,1921435,1925867,1929444,1931364,1931041,1928429,1924386,1919875,1916015,1913346,1911871,1911239,1910665,1909899,1908942,1908198,1908236,1909313,1911003,1912702,1913975,1914711,1915369,1916685,1919066,1922168,1925368,1928377,1931270,1934261,1937410,1940739,1943970,1946756,1948820,1950172,1951271,1952780,1955127,1958007,1961148,1964467,1968038,1971992,1976482,1981599,1987066,1992474,1997460,2001934,2006077,2010428,2015296,2020436,2025679,2030575,2034639,2037459,2039020,2039350,2038587,2036937,2034517,2031393,2027587,2023344,2018895,2014589,2010772,2007565,2005202
