state_name,year,no_high_school_diploma,high_school_or_equivalent,some_college_less_than_4_yr_degree,bachelors_degree_or_higher
PENNSYLVANIA,2005,680,2036,875,1315
RHODE ISLAND,2005,71,127,102,123
SOUTH CAROLINA,2005,331,479,442,381
SOUTH DAKOTA,2005,37,99,97,74
TENNESSEE,2005,441,853,576,516
TEXAS,2005,1730,2083,2237,2165
UTAH,2005,58,191,288,230
VERMONT,2005,27,78,65,89
VIRGINIA,2005,392,856,707,891
WASHINGTON,2005,211,621,870,757
WEST VIRGINIA,2005,142,304,164,109
WISCONSIN,2005,232,833,643,536
WYOMING,2005,23,73,65,45
ALABAMA,2006,338,615,482,381
ALASKA,2006,19,75,86,71
ARIZONA,2006,356,601,739,567
ARKANSAS,2006,197,402,300,205
CALIFORNIA,2006,2113,2693,3919,3905
COLORADO,2006,194,460,557,687
CONNECTICUT,2006,173,377,347,506
DELAWARE,2006,47,118,84,87
DISTRICT OF COLUMBIA,2006,39,46,41,129
FLORIDA,2006,988,2248,2153,1991
GEORGIA,2006,573,1121,854,980
HAWAII,2006,47,117,132,150
IDAHO,2006,63,166,187,139
ILLINOIS,2006,629,1376,1369,1526
INDIANA,2006,335,973,651,506
IOWA,2006,119,445,371,285
KANSAS,2006,100,302,353,327
KENTUCKY,2006,342,605,415,327
LOUISIANA,2006,330,513,363,335
MAINE,2006,55,191,148,148
MARYLAND,2006,252,579,515,743
MASSACHUSETTS,2006,271,731,506,974
MICHIGAN,2006,428,1337,1168,1021
MINNESOTA,2006,146,522,683,699
MISSISSIPPI,2006,209,352,290,209
MISSOURI,2006,333,796,662,571
MONTANA,2006,35,139,125,97
NEBRASKA,2006,68,247,210,204
NEVADA,2006,120,321,298,200
NEW HAMPSHIRE,2006,47,159,145,170
NEW JERSEY,2006,418,947,654,1140
NEW MEXICO,2006,142,192,242,202
NEW YORK,2006,1152,2285,1600,2364
NORTH CAROLINA,2006,559,1017,955,892
NORTH DAKOTA,2006,37,76,93,67
OHIO,2006,553,1801,1248,1097
OKLAHOMA,2006,187,497,463,315
OREGON,2006,145,358,517,412
PENNSYLVANIA,2006,635,1945,981,1312
RHODE ISLAND,2006,69,110,105,132
SOUTH CAROLINA,2006,299,562,445,374
SOUTH DAKOTA,2006,35,108,94,80
TENNESSEE,2006,443,781,612,522
TEXAS,2006,1689,2180,2335,2226
UTAH,2006,67,215,316,222
VERMONT,2006,22,83,65,87
VIRGINIA,2006,381,879,701,938
WASHINGTON,2006,236,627,890,797
WEST VIRGINIA,2006,148,316,167,124
WISCONSIN,2006,242,867,665,531
WYOMING,2006,21,73,77,43
ALABAMA,2007,305,633,488,411
ALASKA,2007,18,74,92,70
ARIZONA,2007,340,611,786,670
ARKANSAS,2007,216,394,293,213
CALIFORNIA,2007,2144,2789,3739,4138
COLORADO,2007,186,447,576,722
CONNECTICUT,2007,165,364,334,511
DELAWARE,2007,41,119,87,85
DISTRICT OF COLUMBIA,2007,32,57,42,146
FLORIDA,2007,909,2364,2134,2126
GEORGIA,2007,486,1098,943,1086
HAWAII,2007,44,125,127,130
IDAHO,2007,60,167,181,156
ILLINOIS,2007,622,1401,1419,1521
INDIANA,2007,343,1007,673,546
IOWA,2007,118,440,368,265
KANSAS,2007,102,352,329,330
KENTUCKY,2007,314,579,421,353
LOUISIANA,2007,303,494,419,383
MAINE,2007,57,193,149,143
